sub,miss_rate,error_rate,go_rt,nogo_rt
302,0.0089285714285714,0.2,0.3336225390990908,0.3465946374999475
303,0.0267857142857142,0.575,0.362257257063762,0.3375755869580999
304,0.0178571428571428,0.7,0.2754176494533153,0.2387718857166224
305,0.0196428571428571,0.675,0.2907461806899997,0.2829644222252278
306,0.0464285714285714,0.525,0.3448417146045109,0.3262632999962772
307,0.0428571428571428,0.45,0.3379373470137335,0.3405760222101687
308,0.0178571428571428,0.7,0.3160893052733842,0.2801902535762305
309,0.0053571428571428,0.5,0.3573177344722947,0.3583867050008848
310,0.0285714285714285,0.625,0.2989923152595378,0.2774724199995398
311,0.0410714285714285,0.575,0.3291845230948877,0.297806030422773
312,0.0267857142857142,0.6,0.3467750196353695,0.3172437416700025
313,0.0285714285714285,0.775,0.3129778854845961,0.2863631322529287
314,0.0267857142857142,0.4,0.3591761823837568,0.3174664437538013
315,0.0267857142857142,0.825,0.2707048016512732,0.251855254546337
316,0.0428571428571428,0.625,0.3498712337690476,0.3126458479987923
317,0.0232142857142857,0.7,0.3554004877513873,0.3096019142872787
318,0.0678571428571428,0.675,0.3227946005743893,0.3238369629619195
319,0.0089285714285714,0.6,0.317783864324195,0.3118596583335602
320,0.0375,0.55,0.3700681250466915,0.34255913181749
321,0.0392857142857142,0.875,0.2673138825281923,0.2478579485672526
322,0.1053571428571428,0.7,0.3351039287451554,0.3190570392887041
323,0.0125,0.625,0.3188115858956439,0.285324255998712
324,0.0178571428571428,0.225,0.3959023061808495,0.3859467777656391
325,0.0178571428571428,0.525,0.3165274938179011,0.2762212142946997
326,0.1589285714285714,0.475,0.3704673464968435,0.3000300631579911
327,0.0107142857142857,0.775,0.2649443703967303,0.2222595322598335
328,0.075,0.475,0.4164545146737636,0.394554531593856
329,0.1125,0.6,0.280397124748524,0.2397378958334381
330,0.0232142857142857,0.575,0.3209179979889488,0.3108653043467632
331,0.1375,0.725,0.3527588968946563,0.3450313896549954
332,0.0125,0.6,0.3328535933086268,0.3187902166658508
333,0.0089285714285714,0.25,0.3541105293689782,0.320657959987875
334,0.0089285714285714,0.6,0.3063767859459534,0.2790641583332747
335,0.0232142857142857,0.825,0.2529125511879846,0.240233821212314
336,0.0160714285714285,0.65,0.3387813776768306,0.339215057691595
337,0.025,0.45,0.3117263011008351,0.2506992000206891
338,0.0339285714285714,0.6,0.3883397974126177,0.3480100291659861
339,0.1053571428571428,0.45,0.3414848898226086,0.2915899555470484
340,0.0660714285714285,0.675,0.3374373925463376,0.2866788740588904
341,0.0107142857142857,0.3,0.335441383756134,0.3051111333285614
342,0.0125,0.8,0.3250893307397156,0.2960666124963609
343,0.0125,0.3,0.3316181162759581,0.3036996250157244
344,0.0232142857142857,0.675,0.33272533528179,0.2957632666652056
345,0.0660714285714285,0.375,0.3710777216060505,0.3374771866636971
346,0.0178571428571428,0.55,0.3423736538194035,0.3393210545446808
347,0.0571428571428571,0.5,0.3538810464034957,0.3189304049825295
348,0.0142857142857142,0.225,0.3569813721015581,0.3172859666665317
