time,control,rewards,presence,x,y,vx,vy
215.09278917312622,1.0,0.8,1.0,180.4261474609375,0.0,20.0,0.0
215.09278917312622,1.0,0.8,1.0,286.35516357421875,0.0,20.0,0.0
215.09278917312622,1.0,0.8,1.0,313.77557373046875,0.0,20.0,0.0
215.09278917312622,1.0,0.8,1.0,341.6155700683594,0.0,20.0,0.0
215.09278917312622,1.0,0.8,1.0,370.3452453613281,8.0,25.0,0.0
215.09278917312622,1.0,0.8,1.0,399.4287414550781,4.0,20.0,0.0
215.09278917312622,1.0,0.8,1.0,428.68115234375,4.0,20.0,0.0
215.09278917312622,1.0,0.8,1.0,458.15411376953125,8.0,25.0,0.0
215.09278917312622,1.0,0.8,1.0,487.6962585449219,8.0,25.0,0.0
215.09278917312622,1.0,0.8,1.0,516.1460571289062,0.0,20.0,0.0
215.29555249214172,1.0,1.6,1.0,184.4261474609375,0.0,20.0,0.0
215.29555249214172,1.0,1.6,1.0,290.35516357421875,0.0,20.0,0.0
215.29555249214172,1.0,1.6,1.0,317.77557373046875,0.0,20.0,0.0
215.29555249214172,1.0,1.6,1.0,345.6155700683594,0.0,20.0,0.0
215.29555249214172,1.0,1.6,1.0,376.0119323730469,8.0,30.0,0.0
215.29555249214172,1.0,1.6,1.0,403.4287414550781,4.0,20.0,0.0
215.29555249214172,1.0,1.6,1.0,432.68115234375,4.0,20.0,0.0
215.29555249214172,1.0,1.6,1.0,463.8207702636719,8.0,30.0,0.0
215.29555249214172,1.0,1.6,1.0,493.3629150390625,8.0,30.0,0.0
215.29555249214172,1.0,1.6,1.0,520.1460571289062,0.0,20.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,188.4261474609375,0.0,20.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,294.35516357421875,0.0,20.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,321.77557373046875,0.0,20.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,349.6155700683594,0.0,20.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,382.0119323730469,8.0,30.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,407.4287414550781,4.0,20.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,436.68115234375,4.0,20.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,469.8207702636719,8.0,30.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,499.3629150390625,8.0,30.0,0.0
215.4844627380371,1.0,2.4000000000000004,1.0,524.1460571289062,0.0,20.0,0.0
215.69521355628967,3.0,3.2,1.0,192.4261474609375,0.0,20.0,0.0
215.69521355628967,3.0,3.2,1.0,298.35516357421875,0.0,20.0,0.0
215.69521355628967,3.0,3.2,1.0,325.77557373046875,0.0,20.0,0.0
215.69521355628967,3.0,3.2,1.0,353.6155700683594,0.0,20.0,0.0
215.69521355628967,3.0,3.2,1.0,388.0119323730469,8.0,30.0,0.0
215.69521355628967,3.0,3.2,1.0,411.4287414550781,4.0,20.0,0.0
215.69521355628967,3.0,3.2,1.0,440.68115234375,4.0,20.0,0.0
215.69521355628967,3.0,3.2,1.0,475.8207702636719,8.0,30.0,0.0
215.69521355628967,3.0,3.2,1.0,505.3629150390625,8.0,30.0,0.0
215.69521355628967,3.0,3.2,1.0,528.1460571289062,0.0,20.0,0.0
215.8911850452423,1.0,5.0,1.0,197.0928192138672,0.0,30.0,0.0
215.8911850452423,1.0,5.0,1.0,302.35516357421875,0.0,20.0,0.0
215.8911850452423,1.0,5.0,1.0,329.77557373046875,0.0,20.0,0.0
215.8911850452423,1.0,5.0,1.0,357.6155700683594,0.0,20.0,0.0
215.8911850452423,1.0,5.0,1.0,394.0119323730469,8.0,30.0,0.0
215.8911850452423,1.0,5.0,1.0,415.4287414550781,4.0,20.0,0.0
215.8911850452423,1.0,5.0,1.0,444.68115234375,4.0,20.0,0.0
215.8911850452423,1.0,5.0,1.0,481.8207702636719,8.0,30.0,0.0
215.8911850452423,1.0,5.0,1.0,511.3629150390625,8.0,30.0,0.0
215.8911850452423,1.0,5.0,1.0,532.1460571289062,0.0,20.0,0.0
216.08285117149353,2.0,6.8,1.0,202.6332550048828,2.2998666763305664,27.634740829467773,11.67566204071045
216.08285117149353,2.0,6.8,1.0,306.35516357421875,0.0,20.0,0.0
216.08285117149353,2.0,6.8,1.0,333.77557373046875,0.0,20.0,0.0
216.08285117149353,2.0,6.8,1.0,361.6155700683594,0.0,20.0,0.0
216.08285117149353,2.0,6.8,1.0,400.0119323730469,8.0,30.0,0.0
216.08285117149353,2.0,6.8,1.0,419.4287414550781,4.0,20.0,0.0
216.08285117149353,2.0,6.8,1.0,448.68115234375,4.0,20.0,0.0
216.08285117149353,2.0,6.8,1.0,487.8207702636719,8.0,30.0,0.0
216.08285117149353,2.0,6.8,1.0,517.3629150390625,8.0,30.0,0.0
216.08285117149353,2.0,6.8,1.0,536.1460571289062,0.0,20.0,0.0
216.28597927093506,1.0,8.6,1.0,208.39048767089844,3.9494216442108154,29.260929107666016,6.618010997772217
216.28597927093506,1.0,8.6,1.0,310.35516357421875,0.0,20.0,0.0
216.28597927093506,1.0,8.6,1.0,337.77557373046875,0.0,20.0,0.0
216.28597927093506,1.0,8.6,1.0,365.6155700683594,0.0,20.0,0.0
216.28597927093506,1.0,8.6,1.0,406.0119323730469,8.0,30.0,0.0
216.28597927093506,1.0,8.6,1.0,423.4287414550781,4.0,20.0,0.0
216.28597927093506,1.0,8.6,1.0,452.68115234375,4.0,20.0,0.0
216.28597927093506,1.0,8.6,1.0,493.8207702636719,8.0,30.0,0.0
216.28597927093506,1.0,8.6,1.0,523.3629150390625,8.0,30.0,0.0
216.28597927093506,1.0,8.6,1.0,540.1460571289062,0.0,20.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,214.36720275878906,4.408816337585449,29.977886199951172,1.1516720056533813
216.48807907104492,1.0,10.399999999999999,1.0,315.0218505859375,0.0,25.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,342.4422302246094,0.0,25.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,370.2822570800781,0.0,25.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,412.0119323730469,8.0,30.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,427.4287414550781,4.0,20.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,456.68115234375,4.0,20.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,499.8207702636719,8.0,30.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,529.3629150390625,8.0,30.0,0.0
216.48807907104492,1.0,10.399999999999999,1.0,544.812744140625,0.0,25.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,220.36520385742188,4.273061752319336,29.984018325805664,-0.9791008830070496
216.6818504333496,1.0,12.199999999999998,1.0,320.0218505859375,0.0,25.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,347.4422302246094,0.0,25.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,375.2822570800781,0.0,25.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,418.0119323730469,8.0,30.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,431.4287414550781,4.0,20.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,460.68115234375,4.0,20.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,505.8207702636719,8.0,30.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,535.3629150390625,8.0,30.0,0.0
216.6818504333496,1.0,12.199999999999998,1.0,549.812744140625,0.0,25.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,226.3616485595703,4.067525863647461,29.985816955566406,-0.922360360622406
216.88880014419556,1.0,13.999999999999996,1.0,325.0218505859375,0.0,25.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,352.4422302246094,0.0,25.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,380.2822570800781,0.0,25.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,424.6785888671875,8.0,35.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,435.4287414550781,4.0,20.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,464.68115234375,4.0,20.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,512.4874267578125,8.0,35.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,542.0296020507812,8.0,35.0,0.0
216.88880014419556,1.0,13.999999999999996,1.0,554.812744140625,0.0,25.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,232.36080932617188,3.971855640411377,29.998153686523438,-0.33288314938545227
217.08677768707275,1.0,15.799999999999995,1.0,330.0218505859375,0.0,25.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,357.4422302246094,0.0,25.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,385.2822570800781,0.0,25.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,431.0119323730469,8.0,30.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,439.4287414550781,4.0,20.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,468.68115234375,4.0,20.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,518.8207397460938,8.0,30.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,548.3629150390625,8.0,30.0,0.0
217.08677768707275,1.0,15.799999999999995,1.0,559.812744140625,0.0,25.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,238.36077880859375,3.9644432067871094,29.99998664855957,0.02823750488460064
217.287535905838,1.0,17.599999999999994,1.0,335.0218505859375,0.0,25.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,362.4422302246094,0.0,25.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,390.2822570800781,0.0,25.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,437.0119323730469,8.0,30.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,443.4287414550781,4.0,20.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,472.68115234375,4.0,20.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,524.8207397460938,8.0,30.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,554.3629150390625,8.0,30.0,0.0
217.287535905838,1.0,17.599999999999994,1.0,564.812744140625,0.0,25.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,244.36074829101562,3.984663248062134,29.99981689453125,0.10481145977973938
217.4858057498932,1.0,19.399999999999995,1.0,340.0218505859375,0.0,25.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,367.4422302246094,0.0,25.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,395.2822570800781,0.0,25.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,443.0119323730469,8.0,30.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,448.09539794921875,4.0,25.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,477.34783935546875,4.0,25.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,530.8207397460938,8.0,30.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,560.3629150390625,8.0,30.0,0.0
217.4858057498932,1.0,19.399999999999995,1.0,569.812744140625,0.0,25.0,0.0
217.68681573867798,1.0,21.199999999999996,1.0,250.3607177734375,3.9994914531707764,29.999940872192383,0.0594797246158123
217.68681573867798,1.0,21.199999999999996,1.0,345.6885070800781,0.0,30.0,0.0
217.68681573867798,1.0,21.199999999999996,1.0,373.10888671875,0.0,30.0,0.0
217.68681573867798,1.0,21.199999999999996,1.0,400.94891357421875,0.0,30.0,0.0
